distance_traveled,trip duration,num_of_passengers,time of day
2196,15.63,1,219.45
494,1.71,1,52.5
1308,2.78,1,105
252,1.42,1,41.25
571,0.95,1,52.5
711,4.39,1,86.25
775,2.2,1,71.25
317,1.75,1,41.25
1005,1.45,1,82.5
350,1.32,1,41.25
337,1.35,1,41.25
429,1.88,1,52.5
358,1.53,1,45
686,2.38,1,90
725,5.38,1,90
654,2.95,1,67.5
37,0.03,1,18.75
609,2.3,1,63.75
388,1.42,1,48.75
1733,9.17,2,176.25
443,2.41,2,56.25
728,3.83,1,78.75
774,2.27,1,71.25
546,3.59,1,67.5
369,2.53,5,52.5
521,2.78,1,63.75
696,3.54,1,75
1152,4.83,1,108.75
1002,8.71,1,135
326,3.23,1,56.25
2340,7.53,1,187.5
567,3.75,1,67.5
722,2.74,1,71.25
2307,21.89,2,303.75
468,1.77,1,52.5
433,2.14,1,52.5
537,2.32,1,56.25
1096,6.32,1,112.5
1380,6.52,1,127.5
249,0.64,1,33.75
1108,3.64,1,97.5
3547,17.53,1,326.25
59656,2.16,1,56.25
454,2.25,1,56.25
529,2.41,1,56.25
384,1.9,1,48.75
1277,5.95,1,120
715,4.43,1,105
84493,11.81,1,183.75
505,2.04,1,52.5
247,1.01,1,37.5
786,3.49,1,78.75
1271,11.35,1,165
1065,6.04,1,116.25
1028,4.06,1,93.75
805,4.83,1,90
402,2.85,1,56.25
6516,7.52,1,446.25
349,1.58,1,75
774,11.09,1,153.75
2264,6.12,1,172.5
557,1.35,1,52.5
762,2.43,1,71.25
654,2.43,1,67.5
567,1.45,0,56.25
758,10.67,1,150
780,4.33,1,82.5
618,7.1,1,108.75
215,0.98,2,33.75
509,2.48,1,60
897,10.75,1,153.75
329,2.14,1,48.75
489,1.88,1,52.5
1238,11.73,1,172.5
341,2.49,1,48.75
703,3.59,1,75
468,1.5,1,48.75
641,2.78,3,67.5
725,2.37,1,67.5
188,0.87,1,30
473,2.09,1,52.5
2317,5.12,1,176.25
683,2.3,1,67.5
961,4.23,1,97.5
513,3.06,1,60
1848,9.17,1,165
707,2.16,2,67.5
1801,4.18,1,138.75
384,2.09,1,52.5
1131,5.95,1,116.25
232,1.93,1,41.25
465,2.54,1,60
138,1.06,1,30
482,2.14,1,56.25
696,2.83,1,71.25
696,2.37,1,67.5
1105,14.64,1,198.75
2413,12.23,1,232.5
795,3.6,1,78.75
648,3.49,1,71.25
519,3.83,1,75
363,1.77,1,45
203,0.8,1,33.75
1975,11.33,4,198.75
1077,3.46,1,93.75
866,2.54,1,82.5
288,1.45,1,41.25
477,2.62,1,56.25
1190,7.44,1,131.25
110,0.19,6,22.5
170,0.77,6,30
1514,14.92,1,210
1020,3.94,1,97.5
461,2.69,1,56.25
143,1.46,2,33.75
749,5.87,1,97.5
593,2.75,1,63.75
114,0.08,1,22.5
933,4.63,1,97.5
1276,5.26,1,116.25
275,1.16,1,37.5
877,4.81,2,93.75
832,2.74,1,75
743,3.98,1,82.5
555,1.82,2,56.25
905,4.8,2,97.5
720,3.2,1,75
1305,4.83,2,112.5
320,1.48,1,75
373,1.77,1,45
481,2.85,1,60
2943,8.88,1,240
1191,5.95,1,116.25
1502,6.28,1,131.25
346,1.17,1,41.25
622,2.46,1,63.75
287,0.98,1,37.5
1403,5.63,3,127.5
634,2.9,1,71.25
424,2.51,1,56.25
382,1.93,6,48.75
704,2.74,1,71.25
391,2.64,1,56.25
652,3.04,1,71.25
389,2.08,1,52.5
813,1.93,1,71.25
1475,8.67,1,146.25
59,0.27,1,22.5
1061,6.97,1,116.25
239,1.17,1,37.5
708,6.73,1,108.75
1250,5.95,1,120
570,2.16,1,60
2259,6.79,1,180
413,1.82,1,52.5
183,1.21,1,33.75
715,2.04,1,67.5
616,2.11,1,60
402,1.48,2,48.75
1987,10.19,1,180
4149,18.14,1,345
631,3.7,2,71.25
617,2.74,1,67.5
1120,3.32,5,97.5
1077,1.45,1,90
615,2.86,1,67.5
1275,8.53,1,150
499,6.13,1,93.75
594,1.77,1,60
66,0.18,1,22.5
408,1.85,1,41.25
540,2.57,1,63.75
807,5.01,2,90
2251,19.86,1,288.75
944,3.67,1,86.25
385,1.93,1,48.75
2546,10.03,1,667.5
797,2.04,2,56.25
576,2.32,5,60
969,16.06,2,210
468,1.59,1,52.5
639,6.12,1,97.5
539,2.2,1,56.25
799,6.21,1,108.75
1355,6.07,1,127.5
227,1.26,1,37.5
429,2.12,1,48.75
1591,23.11,1,300
873,7.89,1,123.75
704,2.7,2,71.25
917,3.38,1,90
1498,15.9,1,232.5
126,0.76,1,30
659,2.49,1,67.5
292,1.54,1,41.25
454,2,1,52.5
868,3.44,1,86.25
778,3.51,1,75
1503,5.78,1,131.25
623,4.18,1,71.25
1249,5.6,1,116.25
648,6.44,1,101.25
604,7.72,1,116.25
1192,4.2,1,105
1004,5.39,1,108.75
244,0.93,1,33.75
412,1.87,2,48.75
53,0.63,1,22.5
1221,3.7,1,105
429,1.66,1,45
839,5.04,1,93.75
253,1.71,5,41.25
1913,15.45,1,187.5
783,3.81,2,82.5
638,2.29,2,63.75
313,1.35,1,41.25
1130,5.12,1,105
453,3.41,1,60
867,3.69,1,86.25
204,1.29,1,37.5
1010,8.32,1,142.5
134,0.82,1,30
323,1.45,1,45
821,2.93,1,75
1845,13.12,1,202.65
664,3.46,1,75
935,3.62,1,90
1287,5.78,2,120
718,1.46,1,63.75
288,1.24,1,41.25
289,1.26,1,41.25
799,4.1,1,86.25
571,4.43,1,78.75
2845,19.33,1,288.75
2589,10.46,1,213.75
1233,2.67,1,101.25
768,2.74,1,75
857,4.07,1,86.25
2975,18.57,1,300
93,0.47,1,26.25
1663,11.12,1,183.75
607,3.86,1,75
1383,12.3,1,187.5
581,3.19,1,71.25
762,2.45,2,71.25
868,10.17,1,187.5
85798,1.87,1,41.25
597,2.54,6,63.75
1410,14.56,1,213.75
638,2.12,1,63.75
1062,5.42,1,112.5
232,1.27,1,33.75
1453,13.92,2,63.75
569,2.99,1,63.75
192,0.76,1,30
236,1.34,5,37.5
981,4.43,1,97.5
881,3.22,0,78.75
686,2.62,1,67.5
3371,20.66,1,326.25
656,6.66,1,150
1029,3.81,1,97.5
4,0.27,1,75
1048,6.44,1,101.25
2009,7.81,1,172.5
203,1.29,1,37.5
667,3.23,1,71.25
752,3.12,1,75
4334,30.42,1,390
634,3.07,1,67.5
2384,18.78,1,285
1727,17.7,1,247.5
2252,14.39,1,243.75
873,8.05,1,127.5
1334,10.96,1,168.75
231,0.92,1,33.75
222,0.64,0,33.75
354,1.71,6,45
1309,5.55,6,116.25
643,0.98,1,60
883,2.12,1,78.75
211,1.01,2,33.75
571,6.97,1,105
126,1.11,1,33.75
572,2.01,1,60
996,2.56,1,86.25
940,4.35,1,90
1193,4.67,1,105
577,1.72,1,56.25
851,5.91,1,105
924,3.65,1,90
685,2.27,1,67.5
371,2.53,1,52.5
1079,6.52,1,112.5
438,2.04,1,48.75
300,1.38,2,41.25
944,7.9,1,131.25
780,2.9,1,71.25
845,2.96,1,78.75
488,3.22,1,60
1874,9.12,1,176.25
801,5.31,1,97.5
471,1.61,1,52.5
2675,20.73,1,307.5
450,2.67,6,56.25
706,2.48,1,67.5
501,2.9,1,63.75
1055,8.35,1,135
233,0.68,1,33.75
972,2.67,2,120
1009,5.15,1,101.25
2573,16.03,1,262.5
168,1.45,1,33.75
692,3.7,2,75
1681,9.82,1,172.5
665,2.74,1,67.5
803,5.78,1,97.5
283,2.16,1,45
604,2.32,1,60
1425,5.86,1,116.25
775,2.41,2,180
501,2.61,1,60
499,1.79,2,56.25
449,1.74,1,52.5
688,2.57,1,67.5
715,6.6,1,105
527,1.69,1,56.25
825,2.74,1,71.25
352,1.03,2,41.25
623,2.14,2,63.75
897,3.83,1,86.25
1527,6.49,2,146.25
1572,5.41,2,135
506,2.12,2,56.25
1610,4.91,1,135
578,2.4,1,60
1159,5.1,1,108.75
765,5.15,1,97.5
1351,7.21,1,138.75
294,2.16,1,45
1578,17.56,1,247.5
405,1.79,1,48.75
720,2.74,1,71.25
367,1.67,1,45
285,1.24,1,37.5
908,10.94,1,161.25
756,2.9,2,75
4084,21.31,1,378.75
485,2.54,2,60
566,3.43,1,67.5
747,2.19,1,71.25
574,2.25,1,63.75
895,4.59,1,90
776,3.11,1,78.75
813,3.03,1,78.75
6022,43.39,1,645
1518,9.45,1,157.5
270,1.32,1,37.5
763,3.44,1,75
942,3.48,1,82.5
608,3.6,1,71.25
599,2.57,1,63.75
826,4.68,1,93.75
1191,4.94,1,108.75
578,1.4,1,56.25
887,2.85,1,82.5
139,0.37,1,112.5
1733,7.52,1,153.75
51001,2.43,1,67.5
192,0.92,1,33.75
1656,19.34,1,266.25
1007,1.93,1,82.5
986,10.33,5,157.5
200,0.92,1,33.75
621,3.22,1,67.5
671,2.64,1,67.5
1105,14.69,1,206.25
701,2.22,1,67.5
736,3.15,1,75
234,1.79,1,41.25
306,1.43,1,41.25
1434,11.38,1,183.75
1596,7.81,1,153.75
823,4.35,1,86.25
500,2.75,2,90
1345,6.58,1,123.75
359,2.72,1,52.5
1187,0.05,1,90
203,1.05,1,33.75
1196,7.81,1,135
880,2.67,1,75
1038,12.84,1,180
639,3.36,1,67.5
429,1.26,1,45
1599,8.27,1,150
376,4.12,2,67.5
862,7.07,1,116.25
935,2.93,1,86.25
1298,8.22,5,146.25
322,1.8,1,45
686,2.48,2,67.5
480,1.32,1,48.75
883,8.37,1,127.5
200,1.61,1,37.5
1699,4.96,1,138.75
482,3.7,1,67.5
536,2.88,1,60
601,2.61,1,63.75
2303,28.65,1,375
799,2.54,1,71.25
376,1.9,1,52.5
527,2.12,6,56.25
677,2.64,1,71.25
645,3.3,1,71.25
558,2.03,1,56.25
1174,18.3,1,240
214,0.89,1,30
6,0.29,5,165
691,5.21,1,90
606,8.34,1,120
496,1.82,1,52.5
447,2.77,1,56.25
932,9.61,1,142.5
976,3.81,1,93.75
483,3.19,1,60
1307,5.86,1,123.75
728,3.96,1,78.75
202,0.92,2,33.75
2726,20.44,4,300
494,2.17,2,56.25
827,8.29,1,127.5
579,1.66,5,60
1216,7.27,1,127.5
802,12.13,3,161.25
3117,23.82,2,352.5
433,1.93,1,52.5
210,0.9,1,75
864,4.75,1,93.75
494,2.45,1,56.25
1071,2.57,1,90
1443,6.5,1,127.5
560,4.81,1,86.25
2605,21.98,1,318.75
323,1.63,1,45
1044,3.99,1,112.5
2148,5.04,2,165
623,2.91,1,71.25
465,2.03,1,56.25
253,1.63,1,37.5
1920,9.33,1,172.5
1388,7.6,1,138.75
750,2.95,1,75
814,4.3,2,150
360,1.72,1,45
476,3.36,5,67.5
183,1.22,1,33.75
1884,6.6,1,161.25
475,2.66,1,56.25
1218,8.84,2,157.5
334,1.26,2,41.25
555,1.66,1,56.25
1441,5.01,1,120
474,2.41,1,56.25
348,1.59,1,187.5
476,2.08,1,56.25
323,1.74,1,45
3383,18.94,2,303.75
1150,14.76,1,202.5
401,1.72,1,48.75
707,2.98,1,75
1087,16.25,1,390
875,5.23,1,97.5
1019,5.23,1,101.25
688,4.25,1,82.5
286,1.45,1,41.25
531,2.38,5,60
361,1.05,1,41.25
618,2.16,1,63.75
299,2.25,1,48.75
938,11.78,1,165
2215,10.54,1,195
1455,10.65,5,180
655,2.09,5,63.75
1324,5.38,1,120
475,5.97,1,112.5
227,1.21,1,33.75
773,2.98,2,71.25
1248,12.46,1,172.5
1200,11.47,1,172.5
522,1.56,1,52.5
634,3.86,5,75
298,1.01,1,37.5
1946,6.86,1,161.25
1154,9.98,1,161.25
819,3.94,2,78.75
789,3.62,1,82.5
8,0.08,1,18.75
294,1.38,1,41.25
183,0.37,2,30
648,3.54,1,71.25
1096,7.53,1,131.25
1026,5.36,2,105
2042,7.64,1,176.25
1171,6.98,1,123.75
649,2.82,1,67.5
334,2.57,1,52.5
1746,22.53,1,303.75
796,2.04,1,71.25
710,2.8,1,71.25
982,2.77,1,90
613,2.16,1,60
1074,4.99,1,105
1592,13.2,1,206.25
241,2.46,1,45
450,1.29,1,48.75
3051,13.73,1,258.75
988,4.14,1,86.25
535,2.17,1,56.25
1008,3.52,1,90
1479,8.84,2,168.75
258,1.21,2,37.5
1951,23.51,1,300
189,0.29,1,30
3,0.03,1,112.5
1955,15.43,1,236.25
1936,14.4,1,228.75
418,1.29,1,45
1355,8.67,1,138.75
3,10.96,1,375
560,2.64,1,63.75
351,1.54,1,45
357,1.26,1,41.25
396,1.32,1,45
330,1.46,1,41.25
275,3.52,1,60
685,1.74,2,63.75
601,1.88,1,60
1988,7.32,1,168.75
343,2.22,1,48.75
1116,11.94,1,165
697,3.09,1,71.25
285,1.24,1,37.5
84133,4.75,1,120
844,4.36,1,90
466,1.92,1,52.5
18,0.27,1,52.5
488,3.32,1,67.5
539,2.83,1,63.75
809,3.69,1,86.25
1864,10.01,1,187.5
341,1.09,1,41.25
273,1.35,1,37.5
396,1.92,1,52.5
413,1.74,1,45
763,3.06,1,75
914,9.14,1,138.75
103,0.45,1,26.25
891,5.47,3,97.5
415,1.56,1,48.75
512,1.9,1,52.5
953,5.15,1,105
399,2.57,1,52.5
595,2.78,1,67.5
723,5.65,1,93.75
470,3.04,1,63.75
1066,4.57,1,105
475,1.77,1,52.5
585,4.35,1,82.5
379,2.08,2,52.5
1077,4.89,1,187.5
1742,0.02,1,127.5
210,0.69,1,30
632,1.85,1,60
1860,20.05,1,277.5
1276,11.65,1,180
1012,3.86,2,97.5
297,1.64,1,41.25
423,1.48,5,48.75
297,0.58,2,37.5
1333,6.28,1,127.5
81,4.44,1,127.5
319,1.66,1,45
1176,5.36,2,191.625
357,1.34,1,41.25
592,5.54,1,90
951,3.49,1,90
599,5.05,1,90
566,2.62,1,60
936,3.28,1,86.25
574,8.66,1,120
696,4.07,1,78.75
197,1.43,6,37.5
651,3.86,1,75
613,1.56,1,60
322,0.95,1,37.5
854,2.48,2,78.75
659,1.96,2,63.75
798,11.09,1,153.75
1373,3.06,2,105
174,0.61,1,30
653,2.24,6,63.75
385,1.56,1,45
403,2.29,1,52.5
1467,4.25,1,120
577,4.41,1,75
4191,30.08,1,450
691,3.22,1,75
964,4.73,1,93.75
922,2.91,1,86.25
2070,9.53,3,337.5
1079,3.11,1,90
820,2.17,1,75
309,1.03,1,41.25
19,0.34,1,75
1996,11.27,1,191.25
802,3.93,5,82.5
808,6.69,1,108.75
285,1.17,1,41.25
349,1.38,1,45
585,2.54,1,60
1723,14.76,1,210
804,3.54,1,82.5
480,1.38,1,48.75
268,2.12,1,45
1739,17.06,1,240
960,8.18,2,131.25
1062,5.21,1,105
83797,1.92,1,52.5
1833,6.05,1,146.25
445,2.22,2,52.5
559,1.59,1,56.25
435,1.93,1,48.75
1197,3.8,1,105
944,5.13,1,97.5
717,4.36,1,82.5
339,0.97,2,41.25
477,2.64,1,56.25
158,1.14,1,30
662,1.5,1,60
479,2.22,1,56.25
292,0.97,1,37.5
1146,9.35,2,150
316,1.19,1,41.25
481,1.45,1,52.5
585,1.05,1,56.25
1096,5.63,1,105
1111,6.78,1,120
677,2.7,1,67.5
154,0.56,1,30
1746,8.06,1,150
633,3.44,1,71.25
461,2.45,1,52.5
1032,2.4,1,90
708,4.47,1,82.5
273,2.06,1,45
62,0.21,1,22.5
203,0.77,1,33.75
912,0.48,1,75
483,2.74,1,60
88,0.85,1,26.25
679,3.04,1,71.25
305,1.4,2,41.25
546,3.01,1,67.5
474,1.85,1,52.5
385,2.37,1,52.5
598,2.57,1,63.75
462,3.32,2,63.75
451,1.35,1,45
243,0.8,2,33.75
697,2.74,1,71.25
1293,4.02,1,108.75
261,1.51,1,41.25
623,2.61,1,67.5
9,2.09,1,18.75
1025,5.73,1,108.75
1238,12.84,1,187.5
1169,5.7,1,112.5
785,4.28,1,82.5
51,0.29,1,22.5
1571,8.74,1,157.5
425,4.59,1,75
598,2.53,1,60
1005,1.9,6,82.5
343,1.27,1,41.25
170,1.5,1,33.75
1291,3.41,6,101.25
1772,33.15,1,412.5
515,2.61,1,60
1455,9.67,1,165
639,3.48,1,71.25
178,0.76,1,30
1222,12.01,1,172.5
817,4.51,2,86.25
1752,14.82,1,206.25
1711,8.09,2,165
1358,10.94,1,172.5
752,6.34,1,105
289,0.72,1,37.5
484,1.5,1,48.75
269,2.04,1,45
609,2.12,1,63.75
518,2.74,6,60
494,1.75,1,52.5
700,1.72,1,63.75
2209,14.23,1,236.25
329,1.01,1,41.25
2020,13.16,1,217.5
605,4.91,2,82.5
1404,13.52,1,195
860,3.81,1,82.5
603,2.57,1,63.75
375,2.64,1,56.25
1808,5.84,1,150
2,0.29,1,18.75
3367,38.01,1,528.75
848,2.08,1,75
1040,1.79,1,82.5
1731,11.15,1,176.25
2049,15.35,1,232.5
256,2.29,1,45
1165,2.19,1,93.75
1020,2.86,1,93.75
892,3.83,2,86.25
312,2.24,1,48.75
415,2.53,1,56.25
788,3.38,1,78.75
256,0.8,2,33.75
960,6.36,1,112.5
165,1.01,1,30
1769,20.6,1,273.75
753,8.64,1,127.5
1225,11.52,1,168.75
352,1.46,1,41.25
286,1.3,1,37.5
316,1.98,1,45
218,1.27,1,37.5
374,1.29,2,41.25
626,1.93,1,60
750,8.64,1,120
941,4.67,2,101.25
669,6.13,1,97.5
332,1.8,1,45
1250,11.35,1,157.5
888,2.88,1,82.5
1267,7.45,2,138.75
718,3.03,1,71.25
247,0.8,2,33.75
1524,6.15,1,138.75
979,6.78,1,112.5
541,2.74,1,63.75
230,1.45,1,37.5
697,3.2,1,75
527,3.96,1,71.25
1110,4.83,1,105
1039,6.31,1,108.75
575,4.39,1,75
1536,7.11,1,142.5
528,2.96,1,63.75
1996,10.78,1,187.5
709,2.45,1,71.25
73,0.56,1,90
492,3.06,3,60
3361,8.79,1,255
446,2.38,1,56.25
468,2.86,1,60
601,3.7,1,75
258,1.63,1,41.25
582,2.95,2,67.5
912,4.52,1,93.75
902,4.02,1,90
1527,7.87,1,153.75
621,6.6,1,105
247,1.32,1,37.5
775,2.9,1,75
926,3.48,1,82.5
1982,14.71,2,277.5
1613,10.54,1,176.25
653,3.48,1,75
556,1.96,2,56.25
266,1.43,1,41.25
1034,6.05,1,116.25
2188,10.01,1,198.75
928,3.41,1,86.25
676,3.67,1,75
508,2.09,1,56.25
732,3.11,1,75
170,1.11,1,33.75
1887,8.03,1,165
403,1.88,1,48.75
759,2.75,1,75
2880,10.75,2,232.5
384,1.03,1,41.25
905,12.38,1,168.75
258,1.3,1,37.5
296,5.01,1,75
491,2.4,1,56.25
1809,7.64,1,165
431,2.2,1,52.5
1274,6.61,1,127.5
1235,11.47,1,176.25
1744,6.28,2,146.25
1366,9.61,1,165
1243,9.66,1,153.75
277,1.16,1,37.5
1244,5.63,1,120
394,1.22,5,45
431,1.85,1,48.75
509,3.36,1,67.5
548,2.86,1,63.75
610,2.67,2,63.75
80,0.66,1,26.25
1675,14.02,1,217.5
640,5.81,1,93.75
970,8.72,1,135
1302,4.75,1,112.5
1264,5.31,1,120
408,1.88,1,48.75
316,0.72,1,37.5
442,2.29,1,52.5
617,2.41,3,63.75
669,1.54,2,60
319,1.46,1,41.25
261,1.29,1,37.5
116,0.58,1,26.25
604,3.06,1,67.5
1972,8.9,1,172.5
343,1.26,1,45
711,2.41,1,71.25
625,2.74,2,63.75
2210,6.34,1,157.5
2403,19.71,1,307.5
3312,15.9,2,307.5
821,4.54,1,90
641,2.46,1,63.75
223,1.66,1,37.5
467,3.7,1,67.5
0,0.23,1,487.5
1588,6.76,1,135
310,1.85,1,45
568,2.85,1,63.75
626,2.22,1,60
1599,11.97,1,183.75
921,4.07,1,93.75
1100,6.23,5,108.75
567,2.91,1,67.5
856,2.75,1,78.75
269,1.21,1,37.5
645,1.5,1,60
685,2.7,1,67.5
330,1.13,1,41.25
348,2.25,1,48.75
664,1.77,1,60
197,0.89,1,33.75
3766,20.79,2,348.75
1197,3.88,2,101.25
921,7.05,1,120
1481,10.4,1,172.5
289,2.17,1,45
390,2.46,1,52.5
1149,4.94,1,108.75
440,1.77,1,48.75
1850,21.07,1,285
172,0.93,1,30
680,5.23,1,93.75
826,3.51,1,82.5
379,1.45,1,48.75
1994,16.29,1,243.75
1018,5.36,1,105
441,4.09,5,71.25
486,2.27,2,56.25
993,5.95,1,105
380,1.61,1,45
631,2.86,1,67.5
1001,8.01,1,131.25
489,2.25,1,56.25
1086,6.92,1,116.25
349,2.33,4,52.5
621,2.8,1,67.5
1109,4.62,4,112.5
628,2.9,1,67.5
1371,12.87,1,183.75
657,6.82,1,105
1474,6.2,2,150
375,2.45,1,52.5
487,1.14,1,48.75
344,1.92,1,45
752,7,1,116.25
2510,12.07,2,228.75
737,6.82,1,112.5
1600,11.09,2,168.75
486,2.67,1,56.25
1499,1.42,1,116.25
2467,7.72,1,191.25
1080,8.26,1,135
1525,6.55,1,138.75
2440,15.13,1,255
395,1.61,1,48.75
885,6.63,1,120
1438,1.9,1,108.75
1125,6.82,1,116.25
889,5.31,2,150
1612,7.58,1,153.75
352,2.19,1,48.75
854,1.88,1,75
1395,5.73,2,123.75
220,0.87,1,33.75
913,3.67,1,86.25
813,2.8,1,75
2718,9.37,1,225
1020,3.2,1,90
319,1.26,1,41.25
1631,6.13,1,146.25
836,3.56,5,86.25
1233,8.21,1,131.25
1014,6.81,1,127.5
1485,8.42,1,150
935,3.38,1,86.25
1425,3.3,1,112.5
147,1.14,1,30
1219,9.3,2,146.25
6,0.23,1,375
802,3.17,5,78.75
661,2.62,1,71.25
780,2.08,2,71.25
1336,13.08,1,191.25
514,2.17,2,56.25
666,3.83,1,78.75
445,1.53,1,48.75
700,5.55,1,187.5
1198,3.46,1,101.25
916,9.75,6,146.25
645,2.09,2,63.75
630,1.77,1,60
545,6.13,2,97.5
1504,6.97,1,142.5
489,2.25,1,60
550,3.86,1,71.25
661,2.54,1,63.75
364,1.67,1,45
1382,7.56,1,146.25
996,8.08,1,127.5
734,2.75,1,71.25
958,4.02,1,90
695,4.01,1,82.5
812,2.57,2,78.75
274,1.79,1,41.25
996,5.75,1,105
680,5.05,1,86.25
2888,8.59,1,221.25
1037,3.96,1,97.5
1257,6.15,6,116.25
1321,4.49,1,112.5
393,2.75,1,52.5
899,3.62,1,86.25
1610,8.06,2,153.75
465,1.3,5,45
2185,8.42,2,176.25
356,1.14,1,41.25
861,3.44,5,86.25
46,0.48,1,22.5
1387,7.6,1,135
504,2.32,5,56.25
879,3.01,1,78.75
1633,7.53,2,146.25
258,1.26,1,37.5
861,4.65,1,90
4104,30.69,1,390
1336,2.46,1,105
802,3.89,1,82.5
699,4.17,2,82.5
751,3.88,1,78.75
361,1.32,1,45
879,3.67,1,86.25
982,4.99,6,93.75
106,0.72,1,26.25
1134,4.91,1,108.75
529,1.35,1,48.75
2638,12.47,1,243.75
4299,0.02,1,18.75
1865,12.7,1,210
177,1.5,2,33.75
323,1.77,3,45
1296,5.28,1,116.25
448,1.98,1,52.5
2273,11.64,1,202.5
773,8.71,1,127.5
664,5.02,1,86.25
843,2.95,1,75
484,4.65,1,75
4137,12.57,2,318.75
738,2.86,1,75
1207,3.7,1,105
840,4.38,1,90
1150,5.46,1,112.5
583,1.42,1,60
1312,6.21,3,116.25
263,1.48,1,41.25
438,2.46,1,56.25
657,2.41,1,63.75
1678,40.17,2,855
78,0.82,1,26.25
619,2.25,1,63.75
529,1.59,1,52.5
832,4.84,1,90
759,3.81,1,82.5
499,1.21,1,41.25
129,1.01,1,30
588,2.74,1,63.75
418,1.88,1,48.75
1455,9.83,1,161.25
138,0.77,6,30
952,3.67,1,90
1599,4.72,1,131.25
452,2.11,1,52.5
413,2.62,1,56.25
1087,5.92,1,116.25
964,3.78,3,90
577,1.61,2,56.25
774,3.7,1,78.75
1217,2.25,1,97.5
485,2.51,1,60
874,7.64,1,131.25
436,1.71,1,48.75
1558,11.09,2,183.75
2316,6.37,5,180
526,2.93,1,60
631,2.62,1,67.5
295,2.04,1,45
1031,8.77,1,138.75
787,3.86,1,82.5
1161,5.47,1,112.5
2030,13.81,1,202.5
169,0.74,1,30
441,2.22,1,52.5
1135,2.19,1,93.75
1278,5.25,1,116.25
452,2.12,1,56.25
551,2.51,1,60
1650,6.84,1,150
522,1.72,1,52.5
731,3.06,1,71.25
958,4.31,1,90
1906,17.41,1,255
344,2.32,1,48.75
1130,7.56,1,135
778,1.85,1,71.25
999,4.17,1,93.75
105,0.55,1,26.25
918,3.86,1,86.25
1100,2.24,2,90
886,3.64,5,90
1658,11.14,1,172.5
561,3.4,1,67.5
1138,9.82,1,150
1268,6.15,1,116.25
862,10.86,1,157.5
2470,19.81,1,300
446,2.35,1,52.5
685,3.86,3,78.75
1324,5.15,1,116.25
825,5.17,1,97.5
928,3.28,1,82.5
148,0.5,1,26.25
438,2.04,1,52.5
748,1.93,1,67.5
2740,10.38,1,221.25
633,1.77,1,60
593,3.41,1,75
605,2.82,2,63.75
496,3.23,1,63.75
1053,6.04,1,112.5
179,1.03,1,33.75
589,1.96,1,56.25
292,1.56,1,41.25
416,1.77,1,48.75
322,1.45,2,41.25
1901,21.61,1,311.25
1608,8.05,1,157.5
397,1.35,1,45
988,4.09,1,90
1127,4.7,1,105
794,3.99,1,86.25
515,2.9,1,63.75
2275,7.37,1,187.5
147,0.85,1,30
524,2.48,1,56.25
4031,23.17,1,367.5
1225,3.86,1,108.75
737,2.8,1,75
822,4.89,1,90
943,9.59,1,146.25
288,0.74,1,37.5
291,2.27,1,45
480,3.07,1,71.25
414,1.4,1,48.75
458,2.32,2,56.25
1068,5.18,5,105
380,1.61,1,48.75
711,2.8,1,67.5
722,4.81,1,90
435,2.59,1,56.25
1083,10.51,1,165
815,2.67,1,75
1094,3.25,1,93.75
838,3.52,1,82.5
633,5.75,1,93.75
786,4.01,1,86.25
3009,5.54,1,228.75
577,2.74,1,63.75
1471,13.24,1,198.75
1614,5.5,2,135
1600,9.96,1,194.475
327,2.04,1,90
729,3.06,1,78.75
743,2.7,2,71.25
453,2.19,1,56.25
1118,4.36,1,97.5
312,1.19,1,41.25
479,2.2,2,52.5
600,2.45,1,60
394,1.77,1,48.75
976,9.01,1,135
530,1.34,1,56.25
523,3.7,1,67.5
595,2.67,1,63.75
1466,9.33,1,165
1444,11.06,1,176.25
1870,7,1,157.5
459,1.3,1,48.75
603,2.32,1,63.75
914,5.04,1,93.75
230,1.58,1,41.25
871,3.41,1,82.5
1100,4.46,5,105
1895,9.82,1,180
785,3.03,1,78.75
208,1.35,1,37.5
272,1.64,1,37.5
1586,6.45,1,150
200,1.24,1,37.5
643,3.14,1,112.5
874,4.83,1,90
506,2.08,1,56.25
486,2.41,1,56.25
1277,5.92,1,120
159,0.53,2,26.25
46,0.47,1,26.25
1054,6.57,1,112.5
351,0.85,2,41.25
766,2.98,2,75
1414,4.2,6,112.5
1006,4.86,1,93.75
918,4.07,1,90
547,1.53,1,56.25
152,0.8,2,30
296,1.24,1,41.25
25,0.24,1,18.75
399,1.45,1,45
906,4.51,1,90
410,3.22,1,60
405,2,1,48.75
1165,9.95,1,157.5
849,2.74,1,75
794,2.57,1,71.25
210,0.93,1,33.75
663,3.85,1,78.75
1629,20.1,1,270
564,2.45,1,63.75
550,1.5,1,56.25
111,0.79,1,26.25
500,1.87,1,56.25
734,3.04,1,78.75
472,2.96,1,60
411,1.71,3,48.75
195,0.64,1,30
669,2.41,1,67.5
955,2.93,1,86.25
730,2.43,1,67.5
1370,9.82,1,157.5
1090,4.18,1,97.5
834,4.36,1,86.25
915,5.52,1,97.5
365,2.69,2,56.25
1025,5.15,1,105
299,1.43,1,37.5
935,3.19,1,82.5
1127,3.36,1,97.5
813,3.54,1,78.75
476,1.75,1,52.5
1267,17.06,1,232.5
322,3.46,1,56.25
